"filename", "language", "PHP", "JSON", "JavaScript", "XML", "Markdown", "CSS", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\js\bootstrap.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 2, 5
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\administrador\dashboard.blade.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 3, 36
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\administrador\users.blade.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 2, 37
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\administrador\users\create.blade.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 10, 104
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\administrador\users\edit.blade.php", "PHP", 200, 0, 0, 0, 0, 0, 0, 25, 225
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\administrador\users\index.blade.php", "PHP", 128, 0, 0, 0, 0, 0, 0, 9, 137
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\auth\confirm-password.blade.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 6, 28
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\auth\forgot-password.blade.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 5, 26
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\auth\login.blade.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 9, 48
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\auth\register.blade.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 11, 53
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\auth\reset-password.blade.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 8, 40
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\auth\verify-email.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 6, 32
